INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,NODES
mkc,rothberg,173,Feasible,-563.846,50124
mkc,cplex-default,281,Feasible,-563.732,62876
mkc,cplex-polishing,281,Feasible,-563.846,50033
mkc,maravilha,281,Feasible,-563.732,50285
mkc,none,281,Feasible,-563.732,50000
mkc,rothberg,281,Feasible,-563.846,50031
mkc,cplex-default,409,Feasible,-563.332,63837
mkc,cplex-polishing,409,Feasible,-563.846,50053
mkc,maravilha,409,Feasible,-563.332,50557
mkc,none,409,Feasible,-563.332,50000
mkc,rothberg,409,Feasible,-563.846,50142
mkc,cplex-default,541,Feasible,-563.292,64836
mkc,cplex-polishing,541,Feasible,-563.732,50027
mkc,maravilha,541,Feasible,-563.492,50361
mkc,none,541,Feasible,-563.292,50000
mkc,rothberg,541,Feasible,-563.732,50089
n3700,cplex-default,29,Feasible,1286913,103655
n3700,cplex-polishing,29,Feasible,1279360,50006
n3700,maravilha,29,Feasible,1260672.92933,65549
n3700,none,29,Feasible,1295389,50000
n3700,rothberg,29,Feasible,1286926,50887
n3700,cplex-default,173,Feasible,1289821,102896
n3700,cplex-polishing,173,Feasible,1282431,50007
n3700,maravilha,173,Feasible,1259826.99889,63857
n3700,none,173,Feasible,1293501,50000
n3700,rothberg,173,Feasible,1279137,50740
n3700,cplex-default,281,Feasible,1293741,102039
n3700,cplex-polishing,281,Feasible,1277987,50006
n3700,maravilha,281,Feasible,1277229.94179,64246
n3700,none,281,Feasible,1298006,50000
n3700,rothberg,281,Feasible,1289687,50902
n3700,cplex-default,409,Feasible,1282784,102686
n3700,cplex-polishing,409,Feasible,1273468,50006
n3700,maravilha,409,Feasible,1268609.99696,59778
n3700,none,409,Feasible,1286210,50000
n3700,rothberg,409,Feasible,1280092,50811
n3700,cplex-default,541,Feasible,1281083,96319
n3700,cplex-polishing,541,Feasible,1276103,50005
n3700,maravilha,541,Feasible,1263584.99917,61045
n3700,none,541,Feasible,1296060,50000
n3700,rothberg,541,Feasible,1278564,50679
n3705,cplex-default,29,Feasible,1272990,95293
n3705,cplex-polishing,29,Feasible,1261769,50007
n3705,maravilha,29,Feasible,1251941.99419,60347
n3705,none,29,Feasible,1282435,50000
n3705,rothberg,29,Feasible,1282435,50960
n3705,cplex-default,173,Feasible,1268614,100747
n3705,cplex-polishing,173,Feasible,1247915,50006
n3705,maravilha,173,Feasible,1243450.94491,60780
n3705,none,173,Feasible,1270502,50000
n3705,rothberg,173,Feasible,1270502,50658
n3705,cplex-default,281,Feasible,1269485,102401
n3705,cplex-polishing,281,Feasible,1253189,50008
n3705,maravilha,281,Feasible,1249010.99781,62990
n3705,none,281,Feasible,1271245,50000
n3705,rothberg,281,Feasible,1264480,50802
n3705,cplex-default,409,Feasible,1283852,95489
n3705,cplex-polishing,409,Feasible,1265928,50005
n3705,maravilha,409,Feasible,1252670.98611,59307
n3705,none,409,Feasible,1287201,50000
n3705,rothberg,409,Feasible,1265999,50458
n3705,cplex-default,541,Feasible,1286505,99353
n3705,cplex-polishing,541,Feasible,1246827,50007
n3705,maravilha,541,Feasible,1261156.9998,58680
n3705,none,541,Feasible,1289713,50000
n3705,rothberg,541,Feasible,1271955,50567
n370a,cplex-default,29,Feasible,1294416,104801
n370a,cplex-polishing,29,Feasible,1285381,50006
n370a,maravilha,29,Feasible,1277198.99871,63297
n370a,none,29,Feasible,1300380,50000
n370a,rothberg,29,Feasible,1292758,50970
n370a,cplex-default,173,Feasible,1283769,103645
n370a,cplex-polishing,173,Feasible,1277600,50006
n370a,maravilha,173,Feasible,1254800.98275,61662
n370a,none,173,Feasible,1285020,50000
n370a,rothberg,173,Feasible,1285020,50728
n370a,cplex-default,281,Feasible,1288464,99111
n370a,cplex-polishing,281,Feasible,1284141,50006
n370a,maravilha,281,Feasible,1275407.99896,56357
n370a,none,281,Feasible,1289832,50000
n370a,rothberg,281,Feasible,1289832,50989
n370a,cplex-default,409,Feasible,1297492,104613
n370a,cplex-polishing,409,Feasible,1290870,50005
n370a,maravilha,409,Feasible,1272762.97855,62956
n370a,none,409,Feasible,1301658,50000
n370a,rothberg,409,Feasible,1296292,50547
n370a,cplex-default,541,Feasible,1281845,101800
n370a,cplex-polishing,541,Feasible,1265661,50005
n370a,maravilha,541,Feasible,1263749.98558,62166
n370a,none,541,Feasible,1294116,50000
n370a,rothberg,541,Feasible,1294116,50803
nag,cplex-default,29,Feasible,1815,69172
nag,cplex-polishing,29,Feasible,1350,50001
nag,maravilha,29,Feasible,1530,50095
nag,none,29,Feasible,1815,50000
nag,rothberg,29,Feasible,1545,50003
nag,cplex-default,173,Feasible,1500,66825
nag,cplex-polishing,173,Feasible,1260,50003
nag,maravilha,173,Feasible,1320,50117
nag,none,173,Feasible,1500,50000
nag,rothberg,173,Feasible,1440,50003
nag,cplex-default,281,Feasible,1665,69512
nag,cplex-polishing,281,Feasible,1305,50004
nag,maravilha,281,Feasible,1455,50146
nag,none,281,Feasible,1725,50000
nag,rothberg,281,Feasible,1350,50005
nag,cplex-default,409,Feasible,1530,66621
nag,cplex-polishing,409,Feasible,1320,50004
nag,maravilha,409,Feasible,1485,50110
nag,none,409,Feasible,1605,50000
nag,rothberg,409,Feasible,1320,50004
nag,cplex-default,541,Feasible,1545,68089
nag,cplex-polishing,541,Feasible,1455,50004
nag,maravilha,541,Feasible,1470,50286
nag,none,541,Feasible,1545,50000
nag,rothberg,541,Feasible,1395,50004
ns2124243,cplex-default,29,Feasible,77680,83201
ns2124243,cplex-polishing,29,Feasible,77480,50013
ns2124243,maravilha,29,Feasible,77580,50734
ns2124243,none,29,Feasible,78030,50000
ns2124243,rothberg,29,Feasible,77500,50010
ns2124243,cplex-default,173,Feasible,77760,84968
ns2124243,cplex-polishing,173,Feasible,77500,50007
ns2124243,maravilha,173,Feasible,77710,50747
ns2124243,none,173,Feasible,77980,50000
ns2124243,rothberg,173,Feasible,77480,50013
ns2124243,cplex-default,281,Feasible,77860,75594
ns2124243,cplex-polishing,281,Feasible,77600,50008
ns2124243,maravilha,281,Feasible,77560,50777
ns2124243,none,281,Feasible,78040,50000
ns2124243,rothberg,281,Feasible,77480,50013
ns2124243,cplex-default,409,Feasible,77790,74391
ns2124243,cplex-polishing,409,Feasible,77480,50006
ns2124243,maravilha,409,Feasible,77580,50751
ns2124243,none,409,Feasible,77960,50000
ns2124243,rothberg,409,Feasible,77460,50013
ns2124243,cplex-default,541,Feasible,77460,76959
ns2124243,cplex-polishing,541,Feasible,77460,50006
ns2124243,maravilha,541,Feasible,77460,50753
ns2124243,none,541,Feasible,77480,50000
ns2124243,rothberg,541,Feasible,77460,50009
ns2137859,cplex-default,29,Feasible,29571,69217
ns2137859,cplex-polishing,29,Feasible,27230,50024
ns2137859,maravilha,29,Feasible,28499,50537
ns2137859,none,29,Feasible,29571,50000
ns2137859,rothberg,29,Feasible,27171,50037
ns2137859,cplex-default,173,Feasible,28577,69706
ns2137859,cplex-polishing,173,Feasible,27313,50032
ns2137859,maravilha,173,Feasible,28523,50055
ns2137859,none,173,Feasible,28633,50000
ns2137859,rothberg,173,Feasible,27304,50030
ns2137859,cplex-default,281,Feasible,29639,63642
ns2137859,cplex-polishing,281,Feasible,28342,50009
ns2137859,maravilha,281,Feasible,28597,50073
ns2137859,none,281,Feasible,29665,50000
ns2137859,rothberg,281,Feasible,28541,50012
ns2137859,cplex-default,409,Feasible,29868,65491
ns2137859,cplex-polishing,409,Feasible,28372,50023
ns2137859,maravilha,409,Feasible,28657,50475
ns2137859,none,409,Feasible,29921,50000
ns2137859,rothberg,409,Feasible,27366,50024
ns2137859,cplex-default,541,Feasible,28699,86220
ns2137859,cplex-polishing,541,Feasible,27280,50033
